,keywords,地點,工作抬頭,公司名,工作url,需要工作經歷,需求科系,語言,語言程度,Rails,Python,RF,Database Administrator,Visual Basic,Power BI​,HP-UX,Ethernet,RDBMS,Verilog,ADO,SDLC,VBA,Google Analytics,Circuit Design,Java,Informix,LDAP,中英打,SPSS,Google Trend,DNS,SQR,Data Guard,Junit,Adobe Acrobat,UNIX,Hubs/ Routers,VPN,ASP.NET,Assembly,Struts,Perl,Juniper,XHTML,ISAPI,Inkscape,Firewall,GIS,XML,Data Modeling,DataStage,Ruby,ReactNative,VMS,PL/1,MCU,JavaScript,Adobe Photoshop,Pro/E,Data Marts,Unity3D,Tableau,SAS,Informatica,Mac OS,WAN,WinForm,Windows Server 2019,VLAN,e-Test suite,英文打字50~75,WebSphere,LabVIEW,Data Architect,Visio,ssh,Matlab,SAP,OOAD,Angular,Cognos,HTML,Redux,RTL,Bridges,TK,PPPoE,JSF,C#,Google Display Network,ASP,Jenkins,Socket,Capacity Planning,SOAP,Servlets,Android,IIS,LibreOffice Writer,基礎文書處理,FTP,Planner,FPGA,LAN,Developer/ Designer 2000,C++,HTTP,OLAP,Kotlin,After Effects,Toad,SAN/NAS,Microsoft Dynamics AX,TIBCO,Oracle Financials,SolidWorks,DHCP,Cisco,PLC,Screaming Frog SEO Spider,C,MFC,iptables,Scala,Premiere,VoIP,Alexa,Windows ,Django,WebLogic,ODBC,Shell,Linux,Go,Sybase,Web Master/Developer,EDA,Load Balancing,Security,Citrix,RIP,JSP,Visual C++,CSS,Google Data Studio,ERP,Visual Studio .net,Fireworks,AJAX,PHP,SimilarWeb,DSP,Vmware,Spring,Sass,AIX,AWS,Outlook,JMS,SNA,Solaris,XML Web services,UML,Microsoft SharePoint,Systems Analyst,MRP,Apple,Microsoft Exchange,jQuery,hadoop,Apache SOAP,Mantis,VBScript,文中系統,Teradata,Database Management,TCL,Xmind,Great Plains,J2EE,iOS,Oracle Forms,Internet Explorer,R,WLAN,C++.Net,SAN,Firebase,Visual Basic .net,Mac/Macintosh,AutoCAD,ASIC,IMS,VM,JDBC,CASE,OOP,Systems Analysis,Objective-C,Visual Studio,ETL,Routers,ARM,中文打字75~100,Illustrator,OSPF,Google Tag Manager,Access,Tomcat,AutoCad 3D,CorelDraw,Wordperfect,TCP/IP,AutoCad 2D,EJB,Delphi,Visual C#,Adobe InDesign,ActiveX,DB2,Ghost,D3.js,UDP,Project,Win32,Git,SWIFT,Hive,XSL,ArcGis,Sniffer,SQL,Systems Administration,CAM
20,資料分析,台北市內湖區,Data Analyst資料分析師,果實夥伴股份有限公司,https://www.104.com.tw/job/796q0?jobsource=n104bank2,1年以上,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
21,資料分析,台北市松山區,資料分析師,寶勝國際(控股)_寶原興業股份有限公司,https://www.104.com.tw/job/7a82i?jobsource=n104bank2,3年以上,"['資訊工程相關', '其他數學及電算機科學相關', '電機電子工程相關']",英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
22,資料分析,台北市中山區,資料分析師,精藤股份有限公司,https://www.104.com.tw/job/4oqww?jobsource=n104bank2,2年以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,資料分析,台北市大安區,研究員/博士後研究員(兒少保資料分析),國立台灣大學_中國信託慈善基金會兒少暨家庭研究中心,https://www.104.com.tw/job/5um6g?jobsource=n104bank2,不拘,"['社會學相關', '其他經社心理相關', '教育學科類']",英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,資料分析,台北市松山區,資料分析師 (Data Analyst),亞洲指標數位行銷顧問股份有限公司,https://www.104.com.tw/job/6k2x6?jobsource=n104bank2,不拘,['數學及電算機科學學科類'],英文,聽 /中等、說 /中等、讀 /精通、寫 /精通,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,資料分析,新北市中和區,資料分析師,微星科技股份有限公司,https://www.104.com.tw/job/6rok5?jobsource=n104bank2,不拘,"['資訊管理相關', '資訊工程相關']",,,,v,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,資料分析,台北市內湖區,資料分析師,邑泰科技股份有限公司,https://www.104.com.tw/job/3y0pq?jobsource=n104bank2,3年以上,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
27,資料分析,新北市板橋區,《總公司》資料分析專員,遠東百貨股份有限公司,https://www.104.com.tw/job/793e1?jobsource=n104bank2,1年以上,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
28,資料分析,台北市中山區,Python 資料分析師,干城數碼有限公司,https://www.104.com.tw/job/6vg27?jobsource=n104bank2,2年以上,"['資訊工程相關', '資訊管理相關']",英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
29,資料分析,台北市南港區,洗錢防制_數據資料分析人員,中國信託商業銀行股份有限公司,https://www.104.com.tw/job/710wp?jobsource=n104bank2,3年以上,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,
